name,type,type_certain,source_name,source_file,format,activity,date,length_km,vertices
Feeder road to Siribu Village (seg 59),Road,True,Feeder road to Siribu Village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.73,143
russell muraba track record july 10 july (seg 55),Village-to-village track,True,2026-07-18 11:45,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.73,150
Anatua-Gadzot-Umbuwara-Track,Village-to-village track,True,Anatua-Gadzot-Umbuwara-Track,Anatua-Gadzot-Umbuwara-Track_001.gpx,gpx,cycling,2026-03-18,1.72,163
Kawowoki track to Semahara (seg 34),Village-to-village track,True,Kawowoki track to Semahara,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.7,148
russell muraba track record july 10 july (seg 40),Village-to-village track,True,2026-07-15 10:00,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.54,124
russell muraba track record july 10 july (seg 84),Village-to-village track,True,2026-08-01 14:18,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.45,122
Track from Kuheine to Dakanatam main road,Village-to-village track,False,Track from Kuheine to Dakanatam main road,Kuhenei_to_Dakanatam_main_road.gpx,gpx,walking,2026-02-18,1.44,131
Baraja River (seg 1),Village-to-village track,True,Baraja River,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.38,108
russell muraba track record july 10 july (seg 71),Village-to-village track,True,2026-07-24 11:20,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.36,118
Trail to Umbara village (seg 11),Village-to-village track,True,Trail to Umbara village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.34,105
russell muraba track record july 10 july (seg 74),Village-to-village track,True,2026-07-27 15:59,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.28,108
russell muraba track record july 10 july (seg 35),Village-to-village track,True,2026-07-14 11:42,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.24,105
russell muraba track record july 10 july (seg 72),Village-to-village track,True,2026-07-25 08:30,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.22,95
Sakarina – Numba – Kaura (seg 1),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,1.22,45
russell muraba track record july 10 july (seg 47),Village-to-village track,True,2026-07-17 10:19,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.2,100
Yoivi junction to Yoivi village (seg 14),Village-to-village track,True,Yoivi junction to Yoivi village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.18,84
russell muraba track record july 10 july (seg 52),Village-to-village track,True,2026-07-18 08:30,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.17,84
Sakarina – Numba – Kaura (seg 4),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,1.1,56
Heniah (seg 6),Village-to-village track,True,Heniah,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.06,101
Sakarina – Numba – Kaura (seg 6),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,1.05,31
Alternate Track from Sapal Creek to Road 3 (seg 25),Road,True,Alternate Track from Sapal Creek to Road 3,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,1.05,90
russell muraba track record july 10 july (seg 8),Village-to-village track,True,2026-01-28 12:08,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.91,83
russell muraba track record july 10 july (seg 12),Village-to-village track,True,2026-07-01 11:26,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.81,64
russell muraba track record july 10 july (seg 79),Village-to-village track,True,2026-07-29 11:03,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.76,71
russell muraba track record july 10 july (seg 22),Village-to-village track,True,2026-07-07 16:30,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.63,52
Sivurana village (seg 7),Village-to-village track,True,Sivurana village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.61,58
russell muraba track record july 10 july (seg 42),Village-to-village track,True,2026-07-15 12:06,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.59,48
Alternate trail (seg 17),Village-to-village track,True,Alternate trail,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.55,41
Track to Afore Village (seg 65),Village-to-village track,True,Track to Afore Village,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.49,43
russell muraba track record july 10 july (seg 78),Village-to-village track,True,2026-07-29 10:09,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.49,46
Sakarina – Numba – Kaura (seg 3),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,0.48,23
Track from Awaru to Sigara Road,Village-to-village track,False,Track from Awaru to Sigara Road 2026-02-19 14:22,Awaru_to_Sigara_Road_2026-02-19_14-22.gpx,gpx,walking,2026-02-19,0.45,44
russell muraba track record july 10 july (seg 85),Village-to-village track,True,2026-08-01 15:10,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.42,40
russell muraba track record july 10 july (seg 50),Village-to-village track,True,2026-07-17 12:24,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.4,36
russell muraba track record july 10 july (seg 61),Village-to-village track,True,2026-07-19 13:51,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.38,34
russell muraba track record july 10 july (seg 60),Village-to-village track,True,2026-07-19 11:47,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.35,26
russell muraba track record july 10 july (seg 21),Village-to-village track,True,2026-07-07 16:22,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.34,26
Sakarina – Numba – Kaura (seg 5),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,0.32,11
russell muraba track record july 10 july (seg 46),Village-to-village track,True,2026-07-17 08:29,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.32,26
russell muraba track record july 10 july (seg 73),Village-to-village track,True,2026-07-25 10:27,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.21,17
russell muraba track record july 10 july (seg 49),Village-to-village track,True,2026-07-17 11:13,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.19,16
russell muraba track record july 10 july (seg 80),Village-to-village track,True,2026-07-29 13:55,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.15,14
russell muraba track record july 10 july (seg 51),Village-to-village track,True,2026-07-18 08:26,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.13,11
Sakarina – Numba – Kaura (seg 2),Village-to-village track,True,HBMS - 1108025Z6,Sakarina-Numba-Kaura.gpkg,gpkg,walking,,0.12,7
russell muraba track record july 10 july (seg 53),Village-to-village track,True,2026-07-18 09:25,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.1,11
russell muraba track record july 10 july (seg 75),Village-to-village track,True,2026-07-27 17:24,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.1,10
russell muraba track record july 10 july (seg 29),Village-to-village track,True,2026-07-10 17:14,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.09,8
russell muraba track record july 10 july (seg 36),Village-to-village track,True,2026-07-14 12:48,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.04,5
russell muraba track record july 10 july (seg 48),Village-to-village track,True,2026-07-17 11:05,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.04,5
russell muraba track record july 10 july (seg 64),Village-to-village track,True,2026-07-21 13:17,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.02,3
russell muraba track record july 10 july (seg 63),Village-to-village track,True,2026-07-21 11:22,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.02,3
russell muraba track record july 10 july (seg 30),Village-to-village track,True,2026-07-10 17:56,russell_muraba_track_record_july_10_july_31.gpkg,gpkg,,,0.01,2
